"Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO , SPOL"

" ";" ";"1991";" ";"1992";" ";"1993";" ";"1994";" ";"1995";" ";"1996";" ";"1997";" ";"1998";" ";"1999";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" ";"2017";" "
" ";" ";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"15-19 let";206;244;106;101;59;37;35;39;132;46;122;96;314;78;191;91;79;39;159;67;120;85;153;137;136;91;278;106;298;132;374;153;350;226;201;185;294;171;227;177;148;158;266;213;222;190;231;195;256;206;294;231;319;275
" ";"20-24 let";517;590;146;200;53;92;50;74;162;102;257;205;600;196;645;144;149;70;219;133;589;211;745;445;452;394;1052;305;1274;234;2256;407;1899;600;881;334;2358;509;1549;488;837;386;656;436;612;484;642;597;646;631;699;726;869;799
" ";"25-29 let";808;680;236;268;59;98;43;66;238;166;286;173;536;217;890;280;243;152;333;190;698;203;856;418;550;420;1160;399;1257;303;2001;439;1858;679;1148;511;2779;615;2029;634;1159;532;1129;692;1057;777;1214;939;1248;1055;1344;1152;1420;1246
" ";"30-34 let";745;565;248;194;57;69;41;45;252;138;271;131;678;171;866;255;233;126;302;157;559;140;735;327;622;334;959;300;968;257;1517;397;1447;539;1000;509;2168;540;1636;550;1107;522;1179;720;1072;759;1181;829;1261;860;1351;903;1538;988
" ";"35-39 let";566;374;252;171;49;69;52;48;269;118;186;87;552;107;644;89;242;85;304;110;424;109;544;267;450;261;753;199;757;187;1212;276;1193;407;1078;408;1791;383;1382;418;906;399;1002;674;967;591;1001;574;1051;618;1065;633;1297;712
" ";"40-44 let";345;186;210;151;72;80;43;54;280;94;117;70;450;88;630;74;215;68;201;73;350;94;468;201;366;148;521;141;707;153;1000;246;1015;330;984;257;1654;283;1229;305;863;269;861;481;750;432;812;428;888;435;893;454;1093;513
" ";"45-49 let";170;77;115;90;56;64;37;49;201;65;90;68;293;93;435;131;181;49;186;85;194;89;267;148;263;207;446;103;540;101;815;170;924;219;825;224;1330;207;967;255;747;222;844;379;634;334;715;312;717;316;728;333;915;374
" ";"50-54 let";104;62;140;71;45;41;34;21;136;51;71;55;201;57;292;97;102;45;137;62;140;66;215;181;118;121;273;142;270;123;553;187;643;195;567;206;861;175;730;225;578;203;586;289;524;276;520;257;569;192;641;238;700;259
" ";"55-59 let";105;56;84;62;31;35;30;27;124;54;45;48;201;48;156;95;61;38;104;53;92;60;133;112;85;92;126;104;170;94;322;170;399;195;399;314;443;154;442;209;458;168;480;302;462;235;439;183;434;148;396;152;491;171
" ";"60-64 let";57;38;53;31;17;24;16;9;84;36;38;34;128;58;78;44;42;31;122;44;92;41;122;80;58;67;114;77;102;62;167;99;221;131;307;220;226;148;353;156;378;184;447;338;385;286;414;191;356;168;383;141;404;167
" ";"65-69 let";30;26;22;28;12;10;12;7;48;29;9;15;54;19;29;31;19;16;52;29;48;28;66;70;72;39;89;40;59;35;93;72;146;111;195;151;160;90;183;115;218;101;281;167;191;141;212;122;238;137;249;110;274;158
" ";"70-74 let";6;7;11;7;4;12;2;9;33;30;7;13;3;11;19;23;11;12;36;25;13;25;26;37;29;29;43;26;32;32;36;33;64;65;104;115;98;82;100;84;100;94;133;127;143;96;145;99;132;86;110;57;133;84
" ";"75-79 let";7;9;5;8;1;1;3;2;10;17;4;5;14;9;10;15;6;10;21;18;13;15;17;18;17;14;27;25;18;21;15;31;39;46;57;57;54;61;56;68;57;59;74;85;62;61;67;64;87;64;76;45;70;47
" ";"80-84 let";4;7;5;6;0;5;0;3;12;22;3;1;3;13;4;12;2;3;10;13;9;8;11;14;7;11;10;25;9;12;13;10;24;30;15;33;29;50;35;54;34;44;42;61;34;42;38;48;34;57;36;46;26;28
" ";"85 + let";0;1;1;2;1;4;1;2;12;29;0;4;4;6;4;12;0;3;5;7;2;5;6;9;1;8;6;7;6;6;9;13;6;11;14;19;34;41;30;65;26;49;17;51;18;40;28;38;28;52;22;47;25;28

"Vir: Statistièni urad Republike Slovenije. "
" "
"Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo "
"prebivalstva Slovenije, objavljeno leta 2008. "
" "

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9518 target=_blank) Metodološka pojasnila "

"Starost je èas, ki je pretekel od rojstva osebe do opazovanega "
"dogodka (selitve). Prikazana je v dopolnjenih letih starosti."

