"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"1996";" ";" ";"1997";" ";" ";"1998";" ";" ";"1999";" ";" ";"2000";" ";" ";"2001";" ";" ";"2002";" ";" ";"2003";" ";" ";"2004";" ";" ";"2005";" ";" ";"2006";" ";" ";"2007";" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"  Ukrajina";13;2;11;46;2;44;124;41;83;49;17;32;61;12;49;162;120;42;239;120;119;21;19;2;304;148;156;299;145;154;349;146;203;280;112;168;152;26;126;218;71;147;163;54;109;122;39;83;121;42;79;103;40;63;96;36;60;79;33;46;95;39;56;122;67;55
" ";"  Združeno kraljestvo";10;4;6;9;9;0;10;7;3;10;3;7;9;9;0;30;15;15;24;20;4;80;9;71;43;26;17;25;19;6;49;35;14;71;45;26;51;31;20;77;45;32;77;51;26;65;39;26;78;48;30;76;48;28;56;38;18;55;33;22;40;27;13;54;34;20
" ";"  Druge države Evrope";18;5;13;49;27;22;189;93;96;65;55;10;67;49;18;124;104;20;49;26;23;158;97;61;379;313;66;182;145;37;401;269;132;481;333;148;293;218;75;320;202;118;254;142;112;259;170;89;214;118;96;200;103;97;185;100;85;215;117;98;185;101;84;165;93;72
" ";"AFRIKA";16;11;5;28;26;2;10;7;3;18;13;5;6;6;0;11;10;1;10;9;1;15;15;0;12;9;3;14;8;6;13;9;4;28;11;17;14;11;3;22;14;8;28;16;12;30;23;7;27;21;6;32;25;7;33;25;8;28;22;6;42;30;12;43;35;8
" ";"AZIJA";60;37;23;80;55;25;94;59;35;38;25;13;37;16;21;67;29;38;116;72;44;136;68;68;96;72;24;87;49;38;130;73;57;228;121;107;78;36;42;156;79;77;239;120;119;204;118;86;179;109;70;152;75;77;198;108;90;182;94;88;183;102;81;239;132;107
" ";"JUŽNA AMERIKA";6;4;2;7;2;5;10;6;4;11;10;1;9;6;3;24;19;5;17;11;6;21;12;9;10;6;4;10;9;1;10;4;6;22;10;12;7;2;5;17;10;7;27;12;15;22;13;9;24;13;11;21;6;15;15;3;12;20;11;9;22;9;13;30;13;17
" ";"SEVERNA IN SREDNJA AMERIKA";42;24;18;22;12;10;35;16;19;19;14;5;41;22;19;46;26;20;51;7;44;51;26;25;43;28;15;45;25;20;85;50;35;159;72;87;68;34;34;125;53;72;123;43;80;88;37;51;85;36;49;94;35;59;73;37;36;78;43;35;92;47;45;70;33;37
" ";"  Kanada";8;7;1;1;1;0;1;1;0;4;2;2;4;3;1;4;3;1;0;0;0;4;2;2;1;0;1;3;2;1;13;6;7;10;4;6;9;6;3;14;7;7;10;5;5;4;3;1;9;4;5;9;6;3;3;3;0;4;2;2;7;3;4;6;4;2
" ";"  Združene države";32;17;15;20;10;10;33;15;18;15;12;3;36;19;17;38;21;17;49;7;42;26;14;12;37;24;13;28;20;8;58;40;18;125;63;62;42;25;17;64;36;28;42;26;16;44;27;17;39;20;19;48;22;26;52;30;22;58;34;24;66;34;32;45;23;22
" ";"  Druge države Severne in Srednje Amerike";2;0;2;1;1;0;1;0;1;0;0;0;1;0;1;4;2;2;2;0;2;21;10;11;5;4;1;14;3;11;14;4;10;24;5;19;17;3;14;47;10;37;71;12;59;40;7;33;37;12;25;37;7;30;18;4;14;16;7;9;19;10;9;19;6;13
" ";"AVSTRALIJA IN OCEANIJA";3;1;2;2;1;1;0;0;0;5;3;2;2;2;0;4;1;3;19;9;10;7;6;1;3;3;0;8;7;1;4;4;0;17;11;6;7;4;3;7;5;2;15;10;5;11;10;1;10;4;6;9;5;4;15;11;4;16;10;6;9;5;4;12;11;1
" ";"Neznana država";78;58;20;292;247;45;383;323;60;13;4;9;60;46;14;49;49;0;6;0;6;3;2;1;60;34;26;4;4;0;0;0;0;2;1;1;20;12;8;26;12;14;302;124;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Selitveni prirast s tujino"
" ";"Država državljanstva - SKUPAJ";6510;4222;2288;2442;1214;1228;-2105;-2314;209;2335;1951;384;2615;2021;594;2992;1818;1174;1865;1620;245;3412;2785;627;1902;1424;478;6436;4471;1965;6267;5025;1242;14250;12963;1287;18584;15625;2959;11508;8157;3351;-521;-1745;1224;2059;166;1893;644;403;241;487;563;-76;-490;-367;-123;507;239;268;1051;1089;-38;1253;1570;-317
" ";"EVROPA";6372;4129;2243;2558;1331;1227;-1792;-2031;239;2353;1950;403;2593;2025;568;2849;1772;1077;1767;1566;201;3229;2700;529;1805;1402;403;6209;4370;1839;6113;4956;1157;14092;12868;1224;18007;15356;2651;10961;7863;3098;-472;-1763;1291;1890;80;1810;432;286;146;246;411;-165;-668;-465;-203;190;76;114;712;888;-176;852;1350;-498
" ";"  Albanija";4;6;-2;-25;-27;2;-20;-18;-2;9;7;2;-18;-14;-4;8;5;3;-6;-5;-1;-2;2;-4;-7;-9;2;2;0;2;6;5;1;4;5;-1;14;12;2;24;16;8;-1;-2;1;-6;-7;1;11;-1;12;4;4;0;3;0;3;15;2;13;3;-2;5;1;1;0
" ";"  Avstrija";13;6;7;11;9;2;-10;-7;-3;-16;-6;-10;2;6;-4;44;23;21;18;14;4;14;5;9;-52;-35;-17;113;61;52;10;10;0;0;2;-2;73;45;28;36;17;19;2;5;-3;37;30;7;30;20;10;-15;-13;-2;8;5;3;-5;-5;0;23;15;8;5;-2;7
" ";"  Belgija";1;1;0;2;2;0;-5;-3;-2;0;0;0;1;0;1;4;1;3;3;5;-2;4;2;2;-5;-3;-2;19;12;7;-6;-2;-4;8;4;4;8;4;4;2;1;1;11;6;5;3;2;1;7;5;2;-8;-5;-3;7;8;-1;-10;-9;-1;6;3;3;18;16;2
" ";"  Bolgarija";7;4;3;4;3;1;25;28;-3;5;6;-1;-61;-61;0;-9;-12;3;16;11;5;25;19;6;-18;-20;2;6;-8;14;49;41;8;662;594;68;354;296;58;157;84;73;295;209;86;390;263;127;260;158;102;261;190;71;345;321;24;138;77;61;218;175;43;281;222;59
" ";"  Bosna in Hercegovina";2253;1189;1064;704;193;511;480;300;180;1220;1111;109;1678;1437;241;1655;1485;170;1208;1027;181;1475;1195;280;1384;1143;241;1956;1527;429;4013;3393;620;8221;7569;652;10022;8703;1319;6252;4696;1556;-36;-812;776;761;-115;876;2143;1023;1120;2459;1322;1137;1865;927;938;3141;1821;1320;2905;1797;1108;4033;2711;1322
" ";"  Èeška republika";-7;-1;-6;12;4;8;2;0;2;7;-2;9;-6;2;-8;8;-2;10;6;5;1;0;2;-2;-18;-11;-7;48;13;35;23;4;19;-2;8;-10;20;6;14;12;4;8;20;2;18;-1;-3;2;-4;1;-5;-1;-4;3;25;6;19;-3;4;-7;-1;-9;8;-4;1;-5
" ";"  Èrna gora";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;68;35;33;112;55;57;52;33;19;30;13;17;43;11;32;41;16;25;38;10;28;47;32;15;36;25;11;6;-2;8;26;10;16
" ";"  Danska";1;2;-1;3;-1;4;-6;-4;-2;0;0;0;0;0;0;-5;-4;-1;9;8;1;-1;0;-1;-4;-3;-1;14;9;5;-2;0;-2;-3;-6;3;4;4;0;3;1;2;1;0;1;-2;-2;0;5;5;0;-1;-1;0;3;1;2;-7;-6;-1;2;1;1;12;4;8
" ";"  Francija";9;4;5;8;8;0;-10;-8;-2;4;6;-2;-8;-15;7;2;0;2;24;13;11;32;22;10;-57;-37;-20;104;61;43;34;33;1;-42;-34;-8;17;9;8;23;18;5;-3;6;-9;14;3;11;23;16;7;32;24;8;-19;-13;-6;-5;-8;3;20;13;7;9;14;-5
" ";"  Hrvaška";1051;657;394;245;52;193;194;126;68;105;94;11;596;366;230;513;305;208;528;344;184;351;328;23;291;138;153;274;32;242;226;56;170;247;248;-1;1042;688;354;691;467;224;100;2;98;363;171;192;485;368;117;454;331;123;120;-12;132;87;9;78;357;203;154;281;129;152
" ";"  Italija";32;37;-5;-25;-8;-17;-2;8;-10;14;11;3;-6;-11;5;29;24;5;70;52;18;69;38;31;-14;-8;-6;168;117;51;63;41;22;104;73;31;161;97;64;98;53;45;161;98;63;139;85;54;260;180;80;228;162;66;218;134;84;270;208;62;234;160;74;187;116;71
" ";"  Kosovo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2085;1706;379;2013;1536;477;68;-289;357;279;-80;359;677;212;465;653;233;420;890;395;495;1015;416;599;674;217;457;412;132;280
" ";"  Madžarska";7;3;4;2;-2;4;7;6;1;-5;-1;-4;3;4;-1;13;6;7;1;0;1;6;-4;10;-15;-7;-8;60;42;18;-11;-24;13;29;28;1;48;35;13;-5;-11;6;44;39;5;-33;-41;8;46;19;27;35;22;13;63;54;9;52;22;30;89;81;8;77;50;27
" ";"  Makedonija";596;516;80;222;151;71;-1;-86;85;493;487;6;617;500;117;265;-64;329;-52;-94;42;357;309;48;313;104;209;1098;746;352;878;515;363;1612;1208;404;2390;1719;671;1267;728;539;-214;-399;185;340;32;308;517;141;376;343;76;267;285;98;187;300;88;212;456;163;293;550;241;309
" ";"  Nemèija";31;20;11;-25;-15;-10;17;3;14;-7;-2;-5;25;15;10;49;17;32;39;21;18;35;20;15;-78;-55;-23;247;143;104;55;29;26;46;25;21;123;68;55;60;34;26;24;3;21;75;55;20;105;69;36;-1;3;-4;50;23;27;-18;-15;-3;55;36;19;-9;-10;1
" ";"  Nizozemska";0;0;0;3;2;1;1;1;0;-6;-3;-3;-1;-1;0;3;2;1;12;11;1;4;4;0;-16;-12;-4;44;26;18;12;10;2;8;5;3;1;-2;3;22;17;5;0;4;-4;17;7;10;17;15;2;6;1;5;13;8;5;9;7;2;7;7;0;10;5;5
" ";"  Poljska";32;29;3;1;0;1;0;-1;1;-7;-2;-5;0;1;-1;11;1;10;9;6;3;2;3;-1;-7;-5;-2;104;55;49;-11;-6;-5;40;24;16;13;2;11;30;12;18;-6;-12;6;20;3;17;41;22;19;16;20;-4;14;11;3;-35;-40;5;25;3;22;14;7;7
" ";"  Romunija";12;2;10;-8;-6;-2;15;9;6;13;0;13;-4;-5;1;18;2;16;48;31;17;12;5;7;-11;-12;1;11;0;11;37;26;11;61;54;7;95;66;29;-42;-51;9;35;21;14;24;20;4;18;6;12;137;122;15;-24;-39;15;-47;-51;4;51;46;5;-33;-41;8
" ";"  Ruska federacija";127;14;113;-31;5;-36;-12;3;-15;18;1;17;11;-4;15;95;16;79;23;5;18;10;-5;15;15;13;2;53;14;39;21;1;20;51;26;25;83;41;42;106;33;73;69;25;44;89;32;57;184;86;98;289;145;144;398;200;198;478;218;260;339;174;165;226;90;136
" ";"  Slovenija";697;378;319;286;91;195;152;83;69;399;204;195;-624;-297;-327;-412;-196;-216;-1192;-493;-699;-619;-258;-361;-691;-307;-384;-330;55;-385;-938;-290;-648;-1489;-603;-886;-2135;-801;-1334;-814;-327;-487;-1194;-511;-683;-1361;-729;-632;-5450;-2674;-2776;-5539;-2753;-2786;-5594;-2963;-2631;-5899;-3079;-2820;-5955;-3032;-2923;-6583;-3261;-3322
" ";"  Srbija";1410;1207;203;1002;802;200;-2629;-2475;-154;32;3;29;189;-13;202;443;194;249;736;485;251;1140;845;295;1069;783;286;1685;1189;496;1452;1016;436;4010;3362;648;2969;2408;561;700;414;286;-166;-308;142;543;349;194;821;536;285;728;466;262;418;236;182;453;290;163;890;676;214;1102;843;259
" ";"  Švedska";4;4;0;2;2;0;6;4;2;-5;-3;-2;2;1;1;7;5;2;13;8;5;4;4;0;-9;-6;-3;19;14;5;18;5;13;3;4;-1;5;3;2;6;6;0;13;7;6;1;1;0;-1;-3;2;-4;-1;-3;4;0;4;-6;-3;-3;7;4;3;-1;-2;1
" ";"  Švica";7;6;1;3;3;0;5;5;0;-12;-7;-5;9;6;3;1;1;0;9;2;7;7;8;-1;5;1;4;8;2;6;9;3;6;10;6;4;8;4;4;8;5;3;2;3;-1;2;2;0;6;3;3;2;1;1;2;3;-1;-1;-1;0;9;4;5;5;3;2
" ";"  Ukrajina";45;14;31;101;35;66;-4;-11;7;72;28;44;131;72;59;69;-42;111;30;-54;84;226;79;147;37;18;19;73;-16;89;8;-5;13;191;85;106;288;126;162;136;42;94;98;14;84;81;8;73;102;40;62;79;33;46;127;68;59;224;101;123;210;119;91;150;46;104
" ";"  Združeno kraljestvo";14;12;2;6;-1;7;6;4;2;-8;-3;-5;11;4;7;6;9;-3;-4;-8;4;-41;13;-54;-32;-16;-16;89;60;29;30;11;19;75;47;28;83;52;31;40;27;13;40;20;20;12;7;5;24;20;4;-14;-6;-8;14;10;4;17;14;3;49;24;25;46;24;22
" ";"  Druge države Evrope";26;19;7;55;29;26;-3;2;-5;28;21;7;46;32;14;32;-4;36;219;172;47;119;64;55;-275;-252;-23;344;216;128;137;84;53;178;99;79;124;10;114;84;8;76;135;93;42;60;-24;84;64;3;61;65;29;36;50;22;28;-9;-9;0;33;12;21;37;1;36
" ";"AFRIKA";-7;-3;-4;-15;-14;-1;-5;-4;-1;-9;-4;-5;2;1;1;1;2;-1;8;4;4;9;3;6;16;10;6;17;13;4;19;11;8;7;9;-2;49;35;14;33;25;8;46;43;3;33;30;3;41;36;5;35;25;10;53;38;15;54;40;14;28;23;5;54;41;13
" ";"AZIJA";47;25;22;30;16;14;15;-2;17;-7;-6;-1;47;24;23;107;61;46;42;9;33;60;31;29;94;27;67;130;56;74;67;30;37;131;78;53;279;130;149;408;228;180;91;47;44;72;20;52;127;54;73;154;90;64;80;35;45;190;103;87;253;144;109;278;152;126
" ";"JUŽNA AMERIKA";2;3;-1;3;2;1;2;2;0;2;3;-1;6;-2;8;-2;-10;8;15;3;12;25;10;15;8;5;3;10;1;9;14;2;12;10;3;7;31;14;17;28;10;18;11;3;8;26;12;14;12;2;10;16;6;10;14;9;5;24;2;22;25;13;12;22;11;11
" ";"SEVERNA IN SREDNJA AMERIKA";14;3;11;17;9;8;-1;4;-5;-11;-6;-5;7;5;2;66;28;38;30;30;0;41;20;21;33;11;22;60;28;32;33;14;19;-8;-6;-2;127;36;91;66;18;48;55;22;33;38;27;11;26;18;8;30;26;4;39;21;18;57;22;35;29;18;11;43;17;26
" ";"  Kanada";-1;-4;3;2;0;2;1;0;1;-3;-1;-2;1;-1;2;3;3;0;4;2;2;4;2;2;4;2;2;5;2;3;1;1;0;6;4;2;13;6;7;0;1;-1;1;-2;3;10;5;5;1;4;-3;-5;-4;-1;4;1;3;7;2;5;9;9;0;8;5;3
" ";"  Združene države";15;6;9;15;10;5;-7;1;-8;-8;-5;-3;3;5;-2;53;23;30;12;23;-11;29;18;11;12;5;7;40;20;20;20;6;14;-39;-12;-27;41;20;21;-2;5;-7;37;16;21;8;8;0;17;8;9;28;23;5;22;9;13;34;14;20;10;6;4;18;7;11
" ";"  Druge države Severne in Srednje Amerike";0;1;-1;0;-1;1;5;3;2;0;0;0;3;1;2;10;2;8;14;5;9;8;0;8;17;4;13;15;6;9;12;7;5;25;2;23;73;10;63;68;12;56;17;8;9;20;14;6;8;6;2;7;7;0;13;11;2;16;6;10;10;3;7;17;5;12
" ";"AVSTRALIJA IN OCEANIJA";1;1;0;2;1;1;1;1;0;-3;-1;-2;10;5;5;16;12;4;-13;-7;-6;12;6;6;6;3;3;10;5;5;13;7;6;1;1;0;13;10;3;16;11;5;2;1;1;0;-3;3;6;7;-1;6;5;1;-8;-5;-3;-8;-4;-4;4;3;1;4;-1;5
" ";"Neznana država";81;64;17;-153;-131;-22;-325;-284;-41;10;15;-5;-50;-37;-13;-45;-47;2;16;15;1;36;15;21;-60;-34;-26;0;-2;2;8;5;3;17;10;7;78;44;34;-4;2;-6;-254;-98;-156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

"Vir: Statistièni urad Republike Slovenije. "
" "
"Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo "
"prebivalstva Slovenije, objavljeno leta 2008. "
" "
"Do konca leta 2007 so podatki o odseljenih tujih državljanih ocena "
"Statistiènega urada Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9518 target=_blank) Metodološka pojasnila "

