"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"1996";" ";" ";"1997";" ";" ";"1998";" ";" ";"1999";" ";" ";"2000";" ";" ";"2001";" ";" ";"2002";" ";" ";"2003";" ";" ";"2004";" ";" ";"2005";" ";" ";"2006";" ";" ";"2007";" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"  Makedonija";799;689;110;747;664;83;537;426;111;826;772;54;876;725;151;1049;720;329;1217;894;323;1559;1100;459;1251;990;261;1678;1293;385;2097;1624;473;3163;2468;695;3196;2349;847;2987;2205;782;1145;680;465;1016;544;472;1080;532;548;822;382;440;745;343;402;709;324;385;862;397;465;1007;498;509
" ";"  Nemèija";59;37;22;54;34;20;42;23;19;10;9;1;48;25;23;78;42;36;41;23;18;56;31;25;43;23;20;257;151;106;155;94;61;221;137;84;250;141;109;183;104;79;160;93;67;171;105;66;197;127;70;123;75;48;132;74;58;94;57;37;120;76;44;85;56;29
" ";"  Nizozemska";6;4;2;5;3;2;5;3;2;1;1;0;5;3;2;22;13;9;21;16;5;24;19;5;5;4;1;51;33;18;31;19;12;31;21;10;26;14;12;34;25;9;25;21;4;34;22;12;28;23;5;24;18;6;19;13;6;15;12;3;18;12;6;25;16;9
" ";"  Poljska";87;82;5;3;0;3;3;0;3;1;0;1;6;2;4;44;33;11;13;8;5;17;8;9;11;3;8;151;98;53;106;73;33;119;77;42;56;28;28;77;39;38;34;11;23;41;13;28;78;36;42;58;42;16;56;37;19;34;16;18;43;12;31;48;21;27
" ";"  Romunija";15;5;10;17;6;11;37;13;24;24;3;21;25;6;19;53;33;20;49;31;18;43;25;18;124;75;49;303;189;114;323;202;121;199;152;47;141;88;53;69;28;41;83;39;44;85;57;28;80;44;36;193;157;36;123;85;38;67;45;22;136;103;33;72;46;26
" ";"  Ruska federacija";175;35;140;92;21;71;57;21;36;35;7;28;58;16;42;131;52;79;135;53;82;112;21;91;62;19;43;88;34;54;63;15;48;112;45;67;132;53;79;165;58;107;110;43;67;138;56;82;241;112;129;341;171;170;492;240;252;639;303;336;524;277;247;480;228;252
" ";"  Slovenija";1500;768;732;1093;534;559;857;446;411;1362;729;633;935;509;426;1030;547;483;1432;793;639;1268;694;574;1574;936;638;1747;1037;710;1765;1025;740;1689;920;769;2631;1515;1116;2903;1657;1246;2711;1553;1158;3318;1781;1537;2741;1540;1201;2250;1306;944;2535;1413;1122;2755;1612;1143;2863;1653;1210;3288;1956;1332
" ";"  Srbija";1902;1538;364;2272;1979;293;680;420;260;310;199;111;660;405;255;880;579;301;1221;849;372;1499;1075;424;2371;1948;423;3324;2750;574;4447;3812;635;6368;5462;906;4362;3579;783;2907;2368;539;1089;720;369;1174;832;342;1340;928;412;1414;987;427;1266;877;389;1251;886;365;1597;1222;375;1956;1556;400
" ";"  Švedska";5;4;1;10;7;3;13;9;4;0;0;0;5;4;1;9;7;2;18;12;6;14;10;4;1;1;0;19;14;5;30;16;14;36;24;12;14;10;4;17;12;5;31;18;13;19;15;4;12;6;6;14;9;5;14;7;7;12;9;3;14;10;4;9;5;4
" ";"  Švica";10;6;4;7;3;4;8;5;3;1;1;0;10;7;3;22;12;10;11;3;8;18;13;5;9;4;5;9;3;6;17;5;12;24;13;11;23;11;12;13;7;6;9;5;4;12;7;5;14;8;6;8;5;3;13;11;2;9;5;4;14;9;5;12;9;3
