"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"1996";" ";"1997";" ";"1998";" ";"1999";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" ";"2017";" "
" ";" ";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"  Poljska";82;5;0;3;0;3;0;1;2;4;33;11;8;5;8;9;3;8;98;53;73;33;77;42;28;28;39;38;11;23;13;28;36;42;42;16;37;19;16;18;12;31;21;27
" ";"  Romunija";5;10;6;11;13;24;3;21;6;19;33;20;31;18;25;18;75;49;189;114;202;121;152;47;88;53;28;41;39;44;57;28;44;36;157;36;85;38;45;22;103;33;46;26
" ";"  Ruska federacija";35;140;21;71;21;36;7;28;16;42;52;79;53;82;21;91;19;43;34;54;15;48;45;67;53;79;58;107;43;67;56;82;112;129;171;170;240;252;303;336;277;247;228;252
" ";"  Slovenija";768;732;534;559;446;411;729;633;509;426;547;483;793;639;694;574;936;638;1037;710;1025;740;920;769;1515;1116;1657;1246;1553;1158;1781;1537;1540;1201;1306;944;1413;1122;1612;1143;1653;1210;1956;1332
" ";"  Srbija";1538;364;1979;293;420;260;199;111;405;255;579;301;849;372;1075;424;1948;423;2750;574;3812;635;5462;906;3579;783;2368;539;720;369;832;342;928;412;987;427;877;389;886;365;1222;375;1556;400
" ";"  Švedska";4;1;7;3;9;4;0;0;4;1;7;2;12;6;10;4;1;0;14;5;16;14;24;12;10;4;12;5;18;13;15;4;6;6;9;5;7;7;9;3;10;4;5;4
" ";"  Švica";6;4;3;4;5;3;1;0;7;3;12;10;3;8;13;5;4;5;3;6;5;12;13;11;11;12;7;6;5;4;7;5;8;6;5;3;11;2;5;4;9;5;9;3
" ";"  Ukrajina";16;42;37;110;30;90;45;76;84;108;78;153;66;203;98;149;166;175;129;243;141;216;197;274;152;288;113;241;68;193;47;156;82;141;73;109;104;119;134;169;158;147;113;159
" ";"  Združeno kraljestvo";16;8;8;7;11;5;0;2;13;7;24;12;12;8;22;17;10;1;79;35;46;33;92;54;83;51;72;45;71;46;46;31;68;34;42;20;48;22;47;25;51;38;58;42
" ";"  Druge države Evrope";24;20;56;48;95;91;76;17;81;32;100;56;198;70;161;116;61;43;361;165;353;185;432;227;228;189;210;194;235;154;146;173;121;157;132;133;122;113;108;98;113;105;94;108
" ";"AFRIKA";8;1;12;1;3;2;9;0;7;1;12;0;13;5;18;6;19;9;21;10;20;12;20;15;46;17;39;16;59;15;53;10;57;11;50;17;63;23;62;20;53;17;76;21
" ";"AZIJA";62;45;71;39;57;52;19;12;40;44;90;84;81;77;99;97;99;91;105;112;103;94;199;160;166;191;307;257;167;163;138;138;163;143;165;141;143;135;197;175;246;190;284;233
" ";"JUŽNA AMERIKA";7;1;4;6;8;4;13;0;4;11;9;13;14;18;22;24;11;7;10;10;6;18;13;19;16;22;20;25;15;23;25;23;15;21;12;25;12;17;13;31;22;25;24;28
" ";"SEVERNA IN SREDNJA AMERIKA";27;29;21;18;20;14;8;0;27;21;54;58;37;44;46;46;39;37;53;52;64;54;66;85;70;125;71;120;65;113;64;62;54;57;61;63;58;54;65;70;65;56;50;63
" ";"  Kanada";3;4;1;2;1;1;1;0;2;3;6;1;2;2;4;4;2;3;4;4;7;7;8;8;12;10;8;6;3;8;8;6;8;2;2;2;4;3;4;7;12;4;9;5
" ";"  Združene države";23;24;20;15;16;10;7;0;24;15;44;47;30;31;32;23;29;20;40;28;46;32;51;35;45;38;41;21;42;37;35;17;28;28;45;31;39;35;48;44;40;36;30;33
" ";"  Druge države Severne in Srednje Amerike";1;1;0;1;3;3;0;0;1;3;4;10;5;11;10;19;8;14;9;20;11;15;7;42;13;77;22;93;20;68;21;39;18;27;14;30;15;16;13;19;13;16;11;25
" ";"AVSTRALIJA IN OCEANIJA";2;2;2;2;1;0;2;0;7;5;13;7;2;4;12;7;6;3;12;6;11;6;12;6;14;6;16;7;11;6;7;4;11;5;10;5;6;1;6;2;8;5;10;6
" ";"Neznana država";122;37;116;23;39;19;19;4;9;1;2;2;15;7;17;22;0;0;2;2;5;3;11;8;56;42;14;8;26;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Odseljeni v tujino"
" ";"EVROPA";1622;1158;3831;1185;4720;1456;1663;839;2278;1137;3369;1241;4488;2562;3315;2319;5909;2136;6557;1880;10585;2922;10470;4017;8091;3824;14643;3792;11261;3942;7950;3719;8516;5537;7756;5320;8425;5577;8796;5793;9135;6089;10470;6691
" ";"  Albanija";13;2;36;1;21;2;2;1;16;6;9;3;21;8;17;11;18;1;15;1;13;2;8;4;2;1;9;1;8;3;9;4;5;3;1;6;3;4;3;0;3;5;3;7
" ";"  Avstrija";16;12;10;13;15;8;10;12;11;12;4;0;4;5;13;6;51;30;21;11;52;32;63;39;41;22;51;20;54;33;40;16;46;17;47;21;40;17;39;18;32;19;37;23
" ";"  Belgija";2;1;0;0;3;2;0;0;1;0;4;3;0;8;10;3;7;2;5;4;8;6;5;2;5;2;9;4;8;4;8;4;3;5;13;7;5;2;14;3;6;2;5;5
" ";"  Bolgarija";2;6;9;8;12;8;14;4;69;4;18;3;2;5;5;7;60;6;32;2;19;11;122;6;107;23;328;54;246;65;267;70;381;101;331;93;358;106;445;79;417;108;430;89
" ";"  Bosna in Hercegovina";245;201;903;204;438;165;310;30;289;49;523;182;987;336;419;211;1337;245;2191;160;3617;241;3656;602;2756;260;6150;508;3924;515;2267;359;1593;309;1068;319;1107;404;1137;416;1453;453;1704;448
" ";"  Èeška republika";3;9;1;4;5;6;3;7;6;20;9;11;6;6;10;15;12;15;3;11;9;19;12;35;7;17;9;12;9;14;15;17;12;17;11;10;9;10;10;23;15;13;7;14
" ";"  Èrna gora";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;8;7;14;8;38;23;30;27;24;13;19;16;18;20;12;17;21;10;28;18;24;15
