 ;1995; ; ; ;1996; ; ; ;1997; ; ; ;1998; ; ; ;1999; ; ; ;2000; ; ; ;2001; ; ; ;2002; ; ; ;2003; ; ; ;2004; ; ; ;2005; ; ; ;2006; ; ; ;2007; ; ; ;2008; ; ; ;2009; ; ; ;2010; ; ; ;2011; ; ; ;2012; ; ; ;2013; ; ; ;2014; ; ; ;2015; ; ; ;2016; ; ; ;2017; ; ; 
 ;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske
Dobrna;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;3;0;2;13;7;3;1;17;2;19;5;17;5;14;2;15;1;13;15;9;6;10;1;4;2;8;2;3;0;6;3;9;3;8;3;9;0;8;2;8;0;9;1;4;1;5;1;9;5;3;1;4;2;4;3;7;3;3;1;2;5;4;3;2;0;2;5;1;5;5;3;1;5;5
Dobrova - Polhov Gradec;0;2;0;0;2;1;1;1;0;1;0;2;1;1;3;3;2;3;2;2;3;4;5;3;5;8;1;3;5;6;4;7;4;6;5;3;4;3;5;4;13;5;7;6;20;4;17;1;32;10;16;7;55;19;16;6;25;7;15;8;11;9;27;16;14;9;12;10;23;7;11;9;8;7;30;15;13;10;19;10;13;6;17;8;11;10;17;18;11;8;18;18
Dobrovnik;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;1;0;1;2;1;4;0;0;2;3;0;0;3;5;0;0;0;2;0;1;1;1;12;1;0;0;12;2;11;2;9;3;5;0;7;2;7;4;0;5;3;3;0;3;3;4;2;4;4;2;2;3;9;16;2;1;5;8;19;7;3;2;2;2;12;4;3;3;11;9;2;3;5;6
Dol pri Ljubljani;2;1;0;1;2;3;0;1;1;0;0;0;1;1;1;0;3;1;2;1;1;3;0;0;1;4;2;2;2;6;10;3;3;5;7;4;4;4;3;4;3;3;7;2;13;8;2;4;23;6;8;1;37;13;7;1;28;7;16;6;26;13;12;10;11;12;11;6;13;5;18;6;11;5;4;8;17;11;11;6;8;8;9;9;5;2;21;11;17;12;18;15
Dolenjske Toplice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;3;2;0;4;2;6;1;1;3;7;4;2;6;7;3;0;1;3;0;6;0;4;0;4;3;3;1;7;2;30;3;8;0;26;4;5;1;16;5;11;5;9;9;4;3;4;3;5;3;2;2;6;1;5;2;0;3;6;2;7;4;7;3;7;5;6;4;3;7;6;9;8;7
Domžale;15;11;2;4;14;5;7;9;3;4;3;1;26;21;40;23;33;18;7;9;25;27;21;17;43;25;12;23;48;35;34;29;63;27;19;24;93;37;55;35;149;37;85;13;288;40;179;26;353;93;134;46;379;111;110;33;344;107;217;56;193;96;194;62;120;95;143;57;138;88;123;80;125;76;104;68;115;94;118;87;122;85;134;97;157;88;175;104;169;70;169;113
Dornava;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;3;0;0;1;3;2;3;0;0;0;0;1;0;0;1;0;1;0;1;3;4;3;4;1;1;0;2;1;1;0;3;11;1;5;2;9;3;13;4;2;2;4;3;2;4;4;1;2;2;8;9;9;1;8;8;5;4;18;7;8;0;12;19;12;4;11;6;3;4;14;3
Dravograd;3;3;1;4;1;3;1;2;4;3;6;5;8;8;5;11;7;18;3;4;17;6;6;4;10;10;26;8;10;4;25;21;7;5;7;15;10;6;19;11;16;9;11;5;29;13;12;3;52;11;18;12;93;21;11;8;83;34;48;10;24;16;38;21;21;19;19;10;23;16;20;14;20;14;24;24;20;18;40;22;31;16;24;18;16;11;35;27;27;13;28;26
Duplek;1;3;0;0;2;2;1;1;1;0;1;2;1;3;2;0;4;0;1;0;1;1;2;0;2;1;3;0;2;1;3;0;2;2;3;3;2;3;1;3;2;4;3;6;12;9;5;4;18;8;3;9;31;5;23;27;21;4;15;4;8;3;19;2;7;9;9;5;15;10;12;17;12;11;22;21;10;12;21;10;8;6;12;8;5;8;17;7;17;7;18;10
Gorenja vas - Poljane;3;5;0;0;2;0;0;0;1;0;2;0;10;4;9;1;2;4;6;0;3;0;6;3;4;0;2;3;8;9;3;7;5;6;3;2;1;0;3;1;11;5;3;0;18;5;16;0;13;11;12;5;20;5;6;5;23;9;14;3;7;6;11;2;5;5;4;1;7;4;8;4;5;11;8;2;6;4;5;8;6;10;6;10;8;6;3;3;27;1;12;9
Gorišnica;1;2;1;5;4;7;0;0;5;1;1;1;1;0;3;0;4;1;2;0;4;1;3;2;5;1;3;1;14;5;3;3;8;4;7;4;7;2;3;2;8;9;11;5;9;8;7;6;4;3;2;3;7;5;3;8;25;7;5;3;15;8;16;15;21;8;15;7;23;3;8;9;17;4;20;14;12;8;25;15;14;8;10;9;11;8;12;8;33;3;14;11
Gorje;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;2;26;16;26;13;1;3;11;5;5;2;8;4;4;3;8;4;6;5;7;3;12;5;4;5;8;7;3;2;10;3;5;2;7;7;5;7;5;5;9;8;9;10
Gornja Radgona;4;5;4;0;1;2;6;7;3;4;5;7;6;5;15;7;5;1;12;9;11;6;10;10;7;9;14;8;3;10;18;25;3;7;10;5;6;3;13;15;8;10;10;8;13;11;34;37;27;10;16;18;20;10;19;18;25;6;20;13;21;14;21;14;17;14;11;14;14;10;19;21;12;4;32;25;22;12;33;21;12;13;32;19;23;13;35;25;22;10;19;21
Gornji Grad;0;0;1;2;0;0;0;0;1;0;4;1;0;0;1;4;0;0;0;0;0;0;2;3;0;4;1;1;4;4;4;2;1;2;3;2;0;1;1;1;3;0;1;2;2;0;1;1;2;1;3;4;2;1;0;0;9;0;0;1;2;1;4;0;5;2;1;0;2;3;3;5;3;6;6;1;3;2;8;6;2;0;2;0;4;2;2;3;5;1;6;2
Gornji Petrovci;1;0;0;1;0;1;1;1;1;0;1;0;0;1;1;2;0;1;2;2;0;0;15;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;3;1;3;3;1;2;3;0;6;4;3;1;3;5;3;1;6;2;3;0;5;2;5;10;2;2;3;2;4;3;5;10;2;1;7;5;2;2;5;4;4;0;5;2;2;4;7;7;2;1;5;4
Grad;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;1;0;1;0;1;1;0;0;2;0;2;0;2;3;0;1;0;2;3;2;0;0;1;2;1;2;0;3;0;1;0;0;2;0;3;3;0;0;3;1;1;0;2;2;2;1;3;3;4;2;0;2;4;10;1;1;2;6;0;0;4;6;2;2;5;3;1;1;5;10;7;3;2;4
Grosuplje;6;1;1;4;4;2;2;4;6;5;1;2;17;7;35;6;18;8;23;11;30;15;17;5;30;27;27;3;36;18;16;5;75;32;15;9;92;20;44;9;114;25;48;14;146;26;123;16;220;34;102;21;261;55;62;16;222;58;116;24;87;31;113;35;71;52;68;33;82;54;74;40;74;41;73;33;83;51;59;31;89;63;79;35;111;67;70;46;226;54;96;65
Hajdina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;1;1;0;2;3;0;9;0;1;2;11;0;5;7;3;1;4;1;1;3;3;1;3;2;4;5;27;7;8;6;20;4;14;4;36;6;10;9;40;13;22;8;10;8;20;8;14;5;17;6;10;6;13;9;6;8;18;12;13;1;12;17;9;7;19;12;15;10;12;7;11;4;11;10
Hoèe - Slivnica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;4;5;2;8;2;3;0;4;7;9;7;7;5;9;7;8;4;4;3;32;8;25;2;64;13;29;8;130;17;80;16;232;27;53;23;224;35;112;52;114;31;141;16;37;20;60;17;33;22;33;15;76;13;37;16;57;15;44;14;48;13;51;24;86;11;48;18;99;18;67;28;174;24;78;28
Hodoš;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;4;5;2;0;0;17;2;0;0;2;1;1;2;2;1;0;1;2;5;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;3;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;2;1;3;0;4;4
Horjul;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;0;0;0;0;0;0;0;2;3;0;0;1;0;0;2;1;1;0;0;0;1;1;2;1;0;1;0;3;14;0;2;1;10;1;5;0;12;6;7;1;3;2;4;3;3;1;5;4;2;2;1;5;5;4;0;2;0;1;7;4;1;4;0;2;2;2;1;3;1;4;5;6
Hrastnik;4;6;0;3;2;0;1;5;5;3;1;0;14;7;44;8;11;7;4;5;36;6;15;11;38;8;44;13;23;12;31;28;44;11;32;13;40;13;33;6;108;17;61;9;73;15;94;6;70;19;33;13;76;21;37;11;136;23;48;13;30;31;54;32;21;18;22;15;32;17;31;31;20;19;23;23;16;10;37;25;20;8;21;26;33;22;28;12;30;14;33;27
Hrpelje - Kozina;5;2;0;0;1;2;0;0;3;6;2;0;8;4;7;1;8;5;10;4;6;5;5;6;17;3;1;2;39;5;4;4;46;3;12;3;23;4;39;4;23;13;19;1;35;14;13;6;58;22;12;10;82;30;23;6;73;26;33;7;29;20;38;14;32;22;27;13;27;27;18;12;39;20;21;19;38;33;30;14;26;29;20;15;22;18;24;20;35;18;23;18
Idrija;3;5;0;2;1;3;0;4;1;0;0;1;19;9;39;11;18;6;2;4;28;7;9;3;20;10;22;6;29;13;18;9;35;9;8;4;39;13;42;9;74;16;64;8;146;15;59;8;159;38;67;25;89;35;64;12;164;24;124;13;82;49;87;15;66;41;40;18;58;36;39;17;53;32;30;18;41;16;33;22;32;29;29;14;36;36;37;25;40;32;40;25
Ig;5;4;2;0;3;1;2;2;1;2;0;0;6;4;2;1;7;3;5;0;9;3;5;3;8;5;2;0;8;10;6;3;4;6;11;4;13;3;2;2;20;7;9;2;9;9;8;7;59;10;37;8;99;22;17;10;68;36;41;8;27;14;34;18;16;22;20;11;11;21;12;7;17;18;13;17;16;23;16;15;17;11;21;16;15;13;21;13;24;16;16;17
Ilirska Bistrica;35;24;4;1;7;15;2;0;19;12;3;2;25;23;23;6;7;7;7;8;17;12;16;6;19;18;31;10;30;14;28;23;39;28;14;17;50;26;39;9;43;26;35;8;57;17;44;25;101;44;61;40;124;44;27;18;122;43;68;37;52;39;53;25;49;40;45;30;60;44;43;25;56;41;46;20;53;29;51;30;61;44;51;37;45;38;63;61;44;29;73;56
Ivanèna Gorica;2;2;2;2;2;6;2;4;2;1;0;2;4;3;5;0;2;5;4;1;3;3;6;4;5;3;0;4;11;11;6;2;13;8;8;11;8;14;12;8;19;18;3;11;63;15;21;9;81;24;23;12;99;36;22;12;84;38;57;23;47;23;41;18;43;23;39;5;39;18;39;18;34;16;30;10;28;22;36;15;44;36;40;27;59;20;41;23;87;29;48;22
Izola;14;6;2;2;16;7;2;0;5;6;9;7;36;44;30;26;54;39;29;24;101;47;19;11;80;42;57;22;101;51;83;42;112;64;58;48;136;57;88;63;242;82;124;35;305;113;209;71;431;151;180;81;447;167;133;56;417;138;342;111;159;115;238;74;123;96;112;65;134;95;119;79;98;79;130;55;102;101;98;74;106;103;76;58;92;80;81;68;130;115;110;69
Jesenice;12;6;17;17;13;8;10;6;10;14;13;13;39;40;144;49;41;27;25;24;18;21;40;26;47;25;12;17;37;13;38;38;49;23;42;45;74;34;76;45;98;37;73;35;136;53;127;56;192;58;85;60;276;92;68;32;158;94;164;57;85;78;118;58;81;66;117;78;76;84;148;100;94;79;153;124;125;82;242;172;126;83;218;150;136;94;212;172;151;96;153;132
Jezersko;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;0;1;2;0;0;2;2;4;1;0;2;3;1;1;0;0;0;0;0;0;0;0;1;0;2;2;0;0;1;3;0;2;2;2;0;1;0;0;0;2;1;2;1;2;0;0;1;2;0;0;0;0;0;2;2;0;1;1;1;0;0;1;1;5;0;2;1;2;0;0;2;2
Juršinci;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;2;2;1;0;0;1;1;0;0;1;0;0;1;1;3;6;1;0;0;0;0;1;3;3;2;4;1;6;1;1;8;7;5;2;7;7;2;4;1;4;4;2;1;4;1;2;9;1;5;2;6;5;13;3;18;15;3;2;14;5;5;1;11;8;1;1;11;5;9;5;6;3;8;1;3;5
Kamnik;17;9;2;6;11;10;13;7;10;6;13;12;43;20;60;20;64;19;37;10;110;25;46;22;74;23;143;4;83;36;124;35;81;51;44;49;85;29;90;17;118;50;69;15;253;42;189;32;296;65;123;32;281;99;126;33;306;91;178;43;143;64;142;40;97;72;104;30;116;79;87;59;111;68;72;37;117;62;104;59;98;77;124;73;140;65;99;75;149;75;131;79
Kanal;1;2;0;0;1;0;1;2;2;3;0;0;22;5;24;4;49;5;8;3;18;6;5;2;10;5;46;2;11;4;5;3;12;6;3;4;24;2;18;11;37;10;22;6;58;10;52;6;67;23;28;10;59;21;30;3;34;9;46;12;10;13;7;2;6;4;10;11;15;8;11;12;6;3;12;7;4;4;16;8;8;5;18;6;10;5;15;3;20;9;11;13
Kidrièevo;2;4;3;1;1;2;0;0;1;2;0;1;3;4;0;7;0;4;3;2;9;8;10;4;60;6;19;0;10;21;10;11;7;15;3;7;6;10;4;7;14;14;7;9;28;20;9;13;63;9;32;5;49;12;9;10;22;18;27;8;10;13;6;14;15;9;10;7;14;4;15;13;10;8;23;24;16;10;27;22;18;11;25;22;24;5;15;10;25;6;12;9
Kobarid;4;4;2;0;2;6;1;0;0;2;2;0;2;2;9;0;8;2;25;2;14;1;3;3;9;4;13;2;10;4;3;3;21;6;14;1;9;1;12;0;30;3;6;3;13;6;23;2;30;14;9;6;20;11;9;5;21;13;11;3;9;13;11;7;9;7;11;8;13;11;6;8;7;4;10;8;13;10;12;3;6;4;15;8;11;7;6;6;10;6;15;9
Kobilje;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;2;1;1;0;0;1;3;1;2;0;2;0;1;1;1;1;2;1;1;1;1;1;0;0;1;3;0;2;1;0;0;10;10;0;0;2;1;0;0;0;0;0;0;2;2;0;1;1;2;3;0;1;0
Koèevje;22;24;6;1;13;13;4;5;6;8;4;4;32;11;26;2;22;8;4;4;33;7;27;6;44;15;2;10;64;31;18;17;63;26;41;33;78;16;60;11;105;20;49;9;145;36;124;23;209;54;94;30;180;46;59;28;181;37;178;38;54;27;92;18;56;26;38;19;64;28;45;37;28;26;51;28;46;28;56;43;68;24;61;44;57;25;53;33;42;29;70;39
Komen;3;4;0;0;1;3;0;0;3;1;0;0;3;2;2;3;0;0;1;0;2;2;0;0;6;10;9;6;10;10;4;5;6;8;4;3;7;4;4;5;5;5;2;8;1;14;5;14;9;17;2;7;19;27;7;6;14;22;9;11;14;15;8;16;15;21;10;15;9;14;6;14;14;16;11;19;8;12;10;13;11;8;8;12;15;17;9;11;13;9;10;15
Komenda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;4;1;11;5;4;2;6;8;7;1;4;5;11;11;9;4;1;3;11;4;15;5;37;10;13;0;35;7;25;3;31;3;7;5;40;10;10;5;65;18;21;0;16;19;17;10;18;10;8;5;17;10;13;2;21;12;11;7;22;9;12;10;14;13;14;12;20;15;14;8;24;12;19;13
Koper;31;34;4;7;24;31;15;10;18;12;16;11;159;111;200;50;213;45;52;36;177;59;55;38;224;81;171;28;296;80;156;84;258;130;105;63;278;94;228;77;535;168;293;77;653;169;469;127;889;260;355;109;1061;374;261;119;996;345;552;166;494;279;492;180;371;277;341;147;442;264;315;173;371;254;291;204;357;240;407;274;350;247;324;216;396;257;313;179;441;284;321;236
Kostanjevica na Krki;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;6;12;11;7;5;4;1;1;5;2;4;2;4;1;6;1;2;1;3;0;2;1;3;5;1;0;4;3;4;2;2;3;0;12;7;1;2;9;4;3;5;0;2
Kostel;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;2;1;0;3;0;0;2;3;1;2;0;2;1;0;1;0;1;1;2;2;3;1;0;1;1;2;2;4;2;1;5;2;1;2;4;4;4;4;2;10;12;5;3;4;4;6;3;1;1;3;7;2;4;3;2;2;2;3;0;5;4;5;4;4;5;3;3;3;1;6;0;0;2;6;2
Kozje;3;3;0;0;4;3;0;3;2;4;0;0;5;0;3;2;1;1;0;2;0;0;1;2;3;1;3;1;5;7;3;5;2;2;2;2;1;1;1;2;0;3;2;2;1;4;0;0;5;1;3;1;4;3;4;3;4;5;1;1;6;1;5;0;6;3;3;2;3;2;6;3;6;3;1;1;2;5;5;6;9;4;9;6;9;4;7;1;7;3;10;1
Kranj;33;34;17;16;28;30;7;8;11;10;17;5;103;74;431;104;164;58;38;19;106;48;110;60;124;79;161;17;165;89;174;96;195;106;152;102;249;82;246;62;432;115;274;71;508;121;379;69;694;189;265;121;736;232;210;76;760;255;472;140;399;191;416;131;325;221;269;100;294;202;260;149;256;172;292;163;260;191;221;150;258;191;270;169;279;209;278;233;328;203;312;237
Kranjska Gora;4;4;1;3;3;3;6;3;3;1;4;3;9;10;12;9;7;4;3;1;3;1;8;8;17;9;3;8;9;6;8;5;12;7;5;7;8;7;7;7;18;6;11;11;9;18;6;10;31;13;15;21;36;14;20;14;17;9;20;9;33;10;16;10;16;17;23;13;9;9;22;21;20;12;15;18;20;11;32;27;11;11;29;30;18;11;16;14;29;9;20;20
Križevci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;1;0;1;0;0;1;1;1;0;1;2;1;1;0;0;2;1;0;1;0;2;0;2;0;1;2;9;4;1;1;8;1;3;4;16;3;7;3;9;3;5;5;4;0;7;3;7;7;10;0;15;3;7;12;3;2;9;17;7;4;8;3;3;1;5;6;8;2;7;8;14;3;13;7
Krško;16;15;5;6;10;10;8;8;5;8;6;6;60;61;146;36;108;20;37;15;194;65;73;26;100;51;52;22;271;115;189;82;276;94;143;69;185;42;147;20;321;96;236;40;442;107;344;78;346;111;170;102;450;89;117;57;386;89;254;53;157;85;210;39;101;74;110;39;129;77;82;42;91;68;89;49;87;73;106;46;113;57;111;65;116;77;142;59;144;73;141;84
Kungota;1;1;1;0;1;1;2;0;1;2;1;0;0;1;1;1;1;2;3;4;5;4;0;0;4;1;5;1;3;3;4;3;6;5;4;4;3;5;4;2;6;1;4;10;5;7;6;4;15;14;10;1;22;12;39;27;26;14;14;12;10;15;9;7;14;13;9;19;8;9;14;12;13;6;12;12;10;8;14;7;4;1;22;9;11;5;11;5;25;4;26;29
Kuzma;1;1;1;4;0;1;1;0;0;0;1;4;1;1;2;1;0;0;0;0;1;1;3;2;0;0;0;0;3;0;2;2;2;0;1;1;1;2;1;0;4;2;2;3;1;3;1;3;4;2;3;4;2;0;1;0;2;3;1;2;3;2;5;4;4;3;4;4;5;2;7;6;3;1;7;4;1;1;5;3;0;1;1;3;1;1;11;10;3;2;7;5
Laško;6;6;3;4;2;5;0;6;1;2;3;3;8;8;10;2;4;2;4;2;6;3;12;3;16;8;7;2;9;8;6;6;16;8;17;13;15;5;18;9;24;8;11;7;56;10;27;7;98;23;27;22;69;28;24;13;58;16;41;7;29;9;37;11;26;23;21;6;21;12;32;37;29;17;20;19;15;13;25;16;13;15;27;28;38;12;22;19;38;18;37;26
Lenart;5;2;10;5;3;1;0;1;2;1;5;5;10;6;1;4;4;3;6;1;7;1;7;2;5;4;4;3;19;4;10;8;24;11;20;9;6;10;5;10;13;19;12;12;33;13;25;17;46;5;21;17;28;19;46;41;23;10;10;5;13;11;11;13;13;15;19;12;17;6;22;16;8;8;19;12;12;11;19;18;12;8;19;20;13;11;26;12;17;15;16;14
Lendava;12;10;1;1;13;12;2;1;9;7;2;8;12;15;5;3;10;5;2;2;17;10;3;6;17;7;10;12;18;10;24;14;16;9;21;11;19;17;21;15;26;11;15;15;58;30;30;13;86;25;61;39;50;42;69;39;66;31;46;37;55;36;59;35;44;46;46;44;33;27;136;141;26;27;51;51;66;40;64;38;72;41;65;48;51;37;74;38;52;36;87;53
Litija;9;10;3;4;5;0;3;0;5;1;1;2;4;2;11;6;14;6;6;5;18;5;16;6;14;9;11;6;20;18;25;22;14;16;13;14;15;12;22;15;21;15;11;10;46;28;37;16;62;19;30;17;56;23;40;14;79;38;49;25;41;26;43;27;36;21;38;18;39;28;27;18;31;36;34;22;40;23;45;35;39;38;39;36;47;30;52;36;70;33;61;38
Ljubljana;229;194;58;75;160;131;71;54;90;99;64;53;644;242;1263;303;952;170;411;118;1124;377;408;284;1379;570;656;180;1198;486;843;418;1114;538;607;359;1795;674;1060;427;2355;981;1395;331;3328;968;2190;627;4920;1305;2616;953;4992;1675;1245;578;5080;1897;2804;860;2130;1323;2520;1065;1912;1402;1987;862;1975;1498;1832;1174;1840;1385;1747;1345;1921;1483;1807;1261;2181;1585;1960;1399;2369;1617;2109;1494;2746;1641;2394;1552
Ljubno;1;0;1;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;6;1;6;2;8;0;8;0;2;1;1;5;2;1;3;4;1;1;3;0;3;2;1;0;2;1;2;1;5;5;1;2;10;8;1;1;16;9;6;3;3;1;3;2;5;4;4;1;5;1;3;1;3;3;4;2;4;5;7;5;8;3;1;5;6;2;7;4;2;1;8;2
Ljutomer;9;17;3;3;6;5;3;2;5;8;2;2;5;13;7;15;6;4;6;4;6;8;7;5;10;2;2;4;13;9;11;11;10;9;12;7;13;4;13;8;9;7;18;16;7;11;18;10;11;10;24;23;30;16;19;20;28;12;27;18;16;10;22;18;18;9;15;12;27;6;46;42;16;11;25;26;22;30;28;33;32;13;39;36;31;15;25;24;34;12;45;33
Log - Dragomer;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;10;26;19;22;13;6;7;18;10;10;9;6;6;13;4;7;8;8;4;13;7;10;12;7;8;13;10;9;3;13;8;14;9;17;9;14;12;10;3;16;7;16;8
Logatec;3;1;4;1;0;1;1;0;6;2;1;1;13;10;4;3;15;5;5;6;8;12;15;9;10;9;5;7;14;9;5;8;23;10;4;8;18;12;21;7;50;23;22;9;51;13;28;5;123;12;51;22;110;23;33;16;159;43;49;19;65;41;76;20;62;21;73;21;68;39;58;20;34;18;54;33;41;40;48;29;46;38;55;38;66;37;50;40;52;27;52;32
Loška dolina;1;2;0;0;4;4;0;0;2;4;0;0;17;11;4;1;11;11;5;6;9;9;2;2;14;14;2;7;22;13;13;10;24;9;2;2;16;5;16;6;29;11;12;7;65;21;38;16;89;20;37;13;81;20;32;16;149;29;62;8;27;8;46;9;33;17;36;14;33;24;27;18;31;16;16;8;57;17;24;15;51;18;38;7;54;14;45;12;19;15;48;9
Loški Potok;0;2;0;0;1;1;2;2;4;5;0;0;0;6;3;0;2;3;0;0;1;2;3;1;0;1;2;0;3;8;0;2;5;3;4;1;1;0;3;1;4;4;6;2;4;2;1;1;6;7;6;6;13;3;7;5;10;5;10;1;2;3;8;4;5;4;5;3;4;5;4;1;1;1;7;9;7;6;2;6;1;5;3;4;3;4;3;2;6;2;6;1
Lovrenc na Pohorju;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;1;2;3;1;0;0;4;0;1;4;2;0;0;1;0;0;1;1;2;2;3;1;3;1;0;1;1;1;1;1;0;2;3;5;3;0;2;4;3;3;0;1;0;2;2;2;0;2;3;1;0;3;3;3;2;10;1;3;4;3;2;7;1;2;2;3;3;1;2;4;3;2;1;3;3
Luèe;0;1;2;0;1;0;0;1;1;0;0;0;2;1;5;2;3;1;2;1;4;0;4;1;2;0;2;0;1;0;1;4;0;0;1;2;13;0;8;1;3;0;4;0;5;0;3;0;6;0;5;2;4;0;3;0;2;0;3;2;1;2;2;0;3;4;0;1;2;0;1;2;1;1;2;0;0;1;3;3;0;1;2;1;2;1;1;3;0;0;1;1
Lukovica;0;1;2;2;0;0;2;2;0;1;0;0;0;1;6;1;2;1;1;0;5;5;0;2;26;5;11;4;27;2;3;2;75;1;0;2;22;5;72;3;19;2;14;2;35;1;11;0;80;4;53;11;65;11;8;3;42;5;27;2;12;5;19;7;3;4;10;4;14;11;13;5;6;5;13;7;11;8;7;7;16;7;10;7;10;2;12;14;10;12;9;6
Majšperk;2;1;0;0;1;0;0;1;1;3;1;0;2;3;2;1;1;0;2;0;2;3;1;0;1;4;1;5;4;2;6;4;3;0;3;3;3;3;1;7;3;3;7;6;8;2;8;9;11;8;7;6;17;7;9;4;68;2;24;7;11;3;24;5;5;5;18;8;10;4;3;10;6;1;9;12;2;4;10;9;11;11;7;7;6;10;6;5;45;9;4;8
